customer_id,age,gender,region,customer_segment,tenure_months,monthly_spend,num_products,login_frequency,support_tickets,satisfaction_score,days_since_last_purchase,discount_used,churned
CUST00001,56.0,Female,Central,Premium,54,4437.78,2,9,0,3,186,1,0
CUST00002,69.0,Male,South,Premium,31,4135.12,3,9,2,5,344,0,0
CUST00003,46.0,Female,South,Standard,58,1520.84,2,3,4,4,165,1,0
CUST00004,32.0,Other,East,Premium,104,4836.87,4,13,1,4,108,1,0
CUST00005,60.0,Male,Central,New,42,518.5,1,14,0,5,83,0,0
CUST00006,25.0,Male,North,Premium,58,5228.82,1,15,0,4,301,1,0
CUST00007,38.0,Male,South,Standard,82,2265.04,1,7,1,3,80,0,0
CUST00008,56.0,Female,Central,Premium,30,5220.57,1,20,1,4,253,1,0
CUST00009,36.0,Female,Central,Standard,25,1210.23,1,11,1,5,25,1,0
CUST00010,40.0,Male,North,New,63,622.54,1,8,1,2,283,1,1
CUST00011,28.0,Female,Central,Premium,19,5032.22,3,10,0,4,51,1,0
CUST00012,28.0,Male,Central,New,72,687.35,1,14,1,1,108,1,0
CUST00013,41.0,Male,Central,Standard,92,1287.72,4,8,2,4,238,1,0
CUST00014,53.0,Female,South,Basic,8,984.41,2,4,1,3,316,1,1
CUST00015,57.0,Male,North,Standard,95,3305.2,3,10,2,3,328,1,0
CUST00016,41.0,Female,Central,New,3,391.19,1,11,1,4,186,1,0
CUST00017,20.0,Male,Central,Basic,67,1245.33,1,11,3,5,80,1,0
CUST00018,39.0,Other,South,Standard,108,1981.65,2,16,1,4,328,0,0
CUST00019,19.0,Male,North,Premium,86,4861.18,2,11,0,5,96,0,0
CUST00020,41.0,Male,East,Premium,81,5290.19,3,6,2,4,150,1,0
CUST00021,61.0,Female,South,New,100,565.81,3,10,2,1,352,0,1
CUST00022,47.0,Male,North,Standard,17,1730.35,3,15,1,3,6,1,0
CUST00023,,Other,Central,Standard,14,3630.07,2,10,2,5,22,1,0
CUST00024,19.0,Female,North,Basic,115,514.71,4,15,3,4,220,1,0
CUST00025,38.0,Female,North,Standard,9,3200.05,3,9,2,5,359,0,1
CUST00026,50.0,Female,North,New,62,513.63,5,9,2,3,12,1,0
CUST00027,29.0,Female,East,Basic,94,522.19,4,11,2,3,283,1,0
CUST00028,39.0,Female,North,Basic,21,778.73,1,11,1,4,192,1,0
CUST00029,61.0,Female,East,New,76,118.6,2,10,0,3,225,0,0
CUST00030,42.0,Female,Central,Premium,37,4059.43,2,13,1,3,336,1,0
CUST00031,66.0,Male,East,Standard,96,1035.2,3,19,2,4,167,1,0
CUST00032,44.0,Male,Central,Standard,11,1295.67,2,12,2,4,316,1,1
CUST00033,59.0,Female,Central,Standard,20,2475.13,3,16,0,3,116,1,0
CUST00034,45.0,Male,East,Basic,35,844.34,1,18,2,2,326,0,1
CUST00035,33.0,Female,South,New,53,520.87,1,7,2,4,148,0,0
CUST00036,32.0,Male,West,Standard,47,1845.22,1,10,3,4,36,0,0
CUST00037,64.0,Male,North,Standard,110,1096.5,2,10,2,4,245,0,0
CUST00038,68.0,Female,West,New,75,518.89,3,16,2,4,308,1,0
CUST00039,,Female,North,Standard,52,2278.59,2,9,0,5,130,1,0
CUST00040,69.0,Male,North,Standard,8,1686.13,3,10,2,4,240,1,1
CUST00041,20.0,Female,Central,Standard,4,1621.33,1,17,2,5,344,0,1
CUST00042,54.0,Female,North,New,27,801.06,1,9,0,4,304,1,0
CUST00043,68.0,Male,North,Basic,44,632.5,3,9,2,3,105,1,0
CUST00044,24.0,Female,East,Basic,40,916.77,2,16,2,4,167,1,0
CUST00045,38.0,Male,West,Basic,102,1494.47,3,18,0,4,42,0,0
CUST00046,26.0,Male,East,Standard,47,2313.09,4,8,2,4,254,0,0
CUST00047,56.0,Other,North,Standard,94,2530.71,4,12,0,4,350,1,0
CUST00048,35.0,Male,Central,Basic,44,980.55,1,10,1,3,301,1,0
CUST00049,21.0,Female,East,Standard,48,1953.35,2,14,1,4,205,1,0
CUST00050,42.0,Female,East,Basic,112,915.8,3,9,2,5,195,1,0
CUST00051,31.0,Male,South,New,91,233.68,3,16,3,4,171,1,0
CUST00052,67.0,Female,North,Basic,85,560.62,3,9,2,4,250,1,0
CUST00053,26.0,Female,Central,Basic,52,616.54,1,19,3,5,104,0,0
CUST00054,43.0,Male,East,Basic,84,937.19,1,14,0,4,363,1,0
CUST00055,19.0,Female,East,Basic,68,1427.42,2,12,2,2,39,0,0
CUST00056,37.0,Female,Central,Standard,11,2503.87,3,17,1,5,236,0,1
CUST00057,45.0,Female,North,Premium,77,4069.94,2,10,0,3,134,1,0
CUST00058,64.0,Female,South,Standard,73,2214.55,1,15,2,4,252,0,0
CUST00059,24.0,Male,East,Basic,4,1026.72,3,13,2,3,170,0,0
CUST00060,61.0,Female,South,Standard,76,,1,14,3,1,283,0,1
CUST00061,25.0,Female,West,Basic,73,1430.33,1,10,1,3,207,1,0
CUST00062,64.0,Female,North,Standard,77,2476.82,1,10,1,4,143,0,0
CUST00063,52.0,Female,West,Basic,48,661.06,2,10,1,2,19,0,0
CUST00064,31.0,Female,West,Premium,26,4107.18,2,13,2,3,190,1,0
CUST00065,34.0,Female,West,Basic,102,925.74,2,12,1,5,64,1,0
CUST00066,53.0,Female,North,Standard,106,2934.16,1,10,1,5,230,0,0
CUST00067,67.0,Female,North,Standard,77,1913.8,1,16,0,5,307,1,0
CUST00068,57.0,Female,Central,Standard,39,2686.52,1,16,1,5,175,1,0
CUST00069,21.0,Female,South,Basic,92,662.77,3,10,2,4,313,0,0
CUST00070,19.0,Female,South,Standard,58,2044.14,1,12,1,5,20,0,0
CUST00071,,Male,Central,Standard,19,1997.05,2,11,3,4,276,1,0
CUST00072,59.0,Male,Central,New,88,431.32,1,11,1,4,338,1,0
CUST00073,21.0,Male,West,Basic,83,935.54,1,11,3,4,226,0,0
CUST00074,46.0,Female,Central,New,113,142.27,1,13,2,3,231,0,0
CUST00075,35.0,Female,East,Standard,77,3040.66,1,16,0,5,101,0,0
CUST00076,43.0,Female,South,Standard,77,3720.0,3,16,2,4,227,1,0
CUST00077,61.0,Male,Central,New,58,688.33,2,10,0,2,294,1,1
CUST00078,51.0,Female,East,Standard,28,2067.46,4,10,2,2,38,1,0
CUST00079,27.0,Male,East,Basic,117,861.12,1,4,5,3,65,1,0
CUST00080,53.0,Male,East,Standard,66,2258.04,1,16,1,5,76,1,0
CUST00081,31.0,Female,East,Standard,10,2425.81,2,11,1,5,192,1,0
CUST00082,48.0,Female,West,Premium,86,2928.77,3,11,1,4,123,1,0
CUST00083,65.0,Male,East,Standard,77,1440.29,2,13,0,3,125,1,0
CUST00084,32.0,Male,West,Premium,58,6020.9,2,14,0,3,27,0,0
CUST00085,25.0,Male,West,Premium,73,5758.88,2,11,3,5,103,0,0
CUST00086,31.0,Male,East,New,97,518.12,1,13,1,3,276,1,0
CUST00087,40.0,Female,South,Standard,14,2462.27,5,11,0,5,60,1,0
CUST00088,57.0,Male,East,Basic,112,1062.57,2,14,0,4,168,0,0
CUST00089,38.0,Female,East,Basic,84,1167.11,3,12,3,5,83,1,0
CUST00090,33.0,Female,East,Basic,15,1142.98,3,9,0,4,6,1,0
CUST00091,62.0,Male,South,Premium,96,3053.46,2,19,2,4,164,1,0
CUST00092,35.0,Male,North,Basic,33,697.7,1,10,4,4,202,1,0
CUST00093,64.0,Male,North,Basic,17,629.9,3,16,0,5,177,0,0
CUST00094,41.0,Male,West,Basic,24,880.44,1,12,0,5,340,0,0
CUST00095,43.0,Male,West,Basic,30,905.48,2,12,1,4,156,0,0
CUST00096,42.0,Female,South,New,62,461.28,3,4,4,4,278,1,0
CUST00097,62.0,Male,Central,Basic,13,768.13,3,11,2,5,340,0,0
CUST00098,58.0,Other,North,Standard,62,1505.42,3,16,1,5,303,0,0
CUST00099,46.0,Male,West,Basic,47,,3,13,5,4,102,1,0
CUST00100,32.0,Female,North,Premium,112,4612.92,1,16,0,1,80,1,0
CUST00101,62.0,Female,South,New,16,496.62,2,5,1,2,194,1,1
CUST00102,18.0,Female,South,Premium,66,3391.67,1,9,3,5,281,1,0
CUST00103,42.0,Female,Central,Standard,81,1846.33,3,14,0,2,91,0,0
CUST00104,24.0,Female,Central,Basic,96,934.17,5,14,1,3,67,1,0
CUST00105,26.0,Female,South,Basic,43,1775.11,1,8,2,3,215,1,0
CUST00106,41.0,Female,West,Standard,8,1239.62,1,14,3,4,145,0,0
CUST00107,18.0,Female,North,Standard,116,2668.65,2,13,1,4,40,1,0
CUST00108,61.0,Male,East,New,3,442.57,4,12,3,3,212,1,1
CUST00109,25.0,Male,Central,Standard,12,1921.95,2,11,0,3,286,1,0
CUST00110,41.0,Female,East,New,84,387.06,1,7,1,5,59,0,0
CUST00111,28.0,Female,West,Premium,16,5861.25,5,7,2,5,28,1,0
CUST00112,68.0,Female,Central,Basic,78,961.05,4,17,0,2,47,1,0
CUST00113,34.0,Female,East,Basic,80,1027.99,1,7,2,2,237,0,1
CUST00114,25.0,Other,West,Premium,59,5754.4,5,7,2,4,117,1,0
CUST00115,,Male,North,Standard,117,1325.33,2,15,0,5,151,1,0
CUST00116,52.0,Male,West,Premium,49,5882.04,2,13,3,5,83,0,0
CUST00117,50.0,Male,Central,Basic,63,321.76,2,10,1,4,57,1,0
CUST00118,22.0,Male,South,Standard,62,2913.65,4,12,2,5,217,0,0
CUST00119,59.0,Female,North,Basic,107,1185.91,3,10,2,3,220,1,0
CUST00120,56.0,Male,East,Premium,49,4080.15,1,6,1,2,285,1,1
CUST00121,58.0,Female,Central,Standard,51,1350.45,5,13,1,4,242,1,0
CUST00122,45.0,Male,South,Premium,118,4708.38,1,21,0,5,320,0,0
CUST00123,24.0,Female,West,Standard,33,2159.62,3,10,0,4,99,0,0
CUST00124,26.0,Female,South,Basic,30,1177.13,3,12,2,5,242,1,0
CUST00125,25.0,Male,Central,New,59,413.24,1,12,1,5,203,1,0
CUST00126,29.0,Female,Central,Basic,76,466.52,1,14,1,4,37,1,0
CUST00127,51.0,Male,South,Standard,15,2496.85,4,8,0,2,246,1,1
CUST00128,50.0,Male,West,New,82,436.89,2,9,0,2,128,1,1
CUST00129,65.0,Male,South,Basic,92,1272.73,3,14,2,5,135,0,0
CUST00130,40.0,Male,Central,New,23,529.24,2,11,1,3,346,1,0
CUST00131,41.0,Male,Central,Standard,78,2465.97,3,12,0,1,343,1,1
CUST00132,54.0,Female,East,Standard,94,2309.26,2,15,3,5,64,0,0
CUST00133,52.0,Female,East,Premium,97,4378.16,1,12,1,5,274,0,0
CUST00134,61.0,Female,North,Basic,45,1275.21,2,13,1,3,29,1,0
CUST00135,57.0,Male,Central,Premium,62,4535.85,4,9,0,5,226,1,0
CUST00136,,Female,East,Standard,79,2892.93,2,14,2,1,60,1,0
CUST00137,44.0,Male,South,Standard,71,2133.68,1,10,1,3,54,0,0
CUST00138,52.0,Male,West,Basic,15,,5,15,1,4,328,1,0
CUST00139,18.0,Female,South,Basic,116,316.97,3,18,1,5,149,1,0
CUST00140,52.0,Male,West,Premium,106,5585.86,1,12,2,1,58,1,0
CUST00141,54.0,Female,East,Standard,46,1506.15,5,13,3,3,36,1,0
CUST00142,64.0,Female,North,Basic,64,695.48,3,15,1,3,145,1,0
CUST00143,31.0,Male,South,New,102,244.0,1,14,2,5,250,1,0
CUST00144,20.0,Male,South,Basic,46,822.78,1,7,0,4,80,1,0
CUST00145,18.0,Male,South,New,56,309.32,3,15,2,4,15,1,0
CUST00146,22.0,Female,West,Basic,118,870.75,3,13,2,2,40,0,0
CUST00147,43.0,Male,East,Basic,44,1076.22,1,10,0,4,81,0,0
CUST00148,,Male,South,Premium,75,3811.54,1,10,2,4,307,0,0
CUST00149,56.0,Male,South,Basic,29,1254.3,2,8,0,5,193,0,0
CUST00150,44.0,Female,North,Basic,95,532.44,2,13,1,3,166,1,0
CUST00151,26.0,Male,North,Basic,62,1084.54,1,14,2,5,353,1,0
CUST00152,32.0,Male,East,Standard,89,2463.97,1,14,3,4,204,1,0
CUST00153,32.0,Female,East,Standard,52,2077.53,3,9,1,3,211,1,0
CUST00154,43.0,Female,Central,Standard,54,1107.67,3,9,0,3,258,1,0
CUST00155,59.0,Male,North,Standard,88,1939.58,2,17,1,4,115,0,0
CUST00156,30.0,Male,Central,Premium,57,4380.08,2,11,1,5,334,0,0
CUST00157,68.0,Male,West,Basic,83,1370.3,2,12,2,4,349,1,0
CUST00158,49.0,Female,Central,Premium,66,5963.46,2,16,2,4,233,0,0
CUST00159,,Male,South,Premium,22,4913.87,5,14,2,3,77,0,0
CUST00160,66.0,Female,Central,Standard,20,1643.49,3,8,2,2,316,0,1
CUST00161,69.0,Female,East,Basic,33,685.06,1,14,3,4,96,0,0
CUST00162,49.0,Female,West,Standard,72,2096.81,2,14,2,4,98,0,0
CUST00163,21.0,Male,South,Standard,25,3257.0,2,8,1,5,56,1,0
CUST00164,47.0,Female,Central,Basic,46,1060.68,3,13,4,3,118,0,0
CUST00165,54.0,Female,West,Standard,73,1513.25,2,12,2,2,119,0,0
CUST00166,,Female,West,New,98,506.08,4,13,1,4,38,1,0
CUST00167,56.0,Male,South,New,57,612.67,3,7,2,5,185,0,0
CUST00168,62.0,Other,Central,Standard,87,2074.44,2,12,2,4,358,1,0
CUST00169,32.0,Male,West,Standard,5,3261.87,4,17,2,3,242,0,1
CUST00170,60.0,Male,West,Basic,55,679.42,3,14,2,3,51,1,0
CUST00171,46.0,Male,North,Premium,61,5222.13,3,19,3,2,127,1,0
CUST00172,53.0,Female,West,Standard,89,2487.55,5,19,1,4,103,0,0
CUST00173,30.0,Male,North,Standard,8,2285.86,1,13,3,5,229,0,1
CUST00174,49.0,Male,Central,New,16,500.18,1,10,3,5,211,0,0
CUST00175,24.0,Male,Central,Premium,118,4084.18,4,6,3,4,85,1,0
CUST00176,68.0,Male,Central,Basic,48,1289.88,3,10,2,3,359,1,0
CUST00177,39.0,Female,East,Basic,109,911.19,5,7,2,4,274,0,0
CUST00178,45.0,Female,Central,Standard,116,1526.65,1,16,1,5,27,1,0
CUST00179,19.0,Male,West,Premium,61,4993.65,3,10,1,2,348,0,1
CUST00180,59.0,Male,South,New,15,397.04,1,14,3,5,72,1,0
CUST00181,62.0,Female,North,Standard,65,2402.57,2,13,1,5,95,1,0
CUST00182,23.0,Male,East,Basic,22,1232.2,1,9,1,4,76,1,0
CUST00183,45.0,Male,Central,Standard,3,1227.09,1,16,0,4,6,1,0
CUST00184,45.0,Other,Central,Standard,102,1396.15,1,12,3,4,90,1,0
CUST00185,61.0,Female,South,Standard,54,1422.41,3,8,4,4,80,1,0
CUST00186,61.0,Male,South,Premium,14,4203.65,2,12,2,1,222,1,1
CUST00187,37.0,Female,East,Premium,36,4378.0,1,12,3,2,83,0,0
CUST00188,47.0,Male,North,Basic,82,848.03,2,11,0,3,82,0,0
CUST00189,28.0,Female,Central,Standard,111,2461.69,1,11,2,5,152,0,0
