date,category,sales_amount,units_sold,profit,is_promotion,day_of_week,month,quarter,year
2022-01-01,Electronics,39994.19,2352,18182.61,False,5,1,1,2022
2022-01-02,Electronics,37892.49,2228,17227.11,False,6,1,1,2022
2022-01-03,Electronics,35746.14,2102,16251.31,False,0,1,1,2022
2022-01-04,Electronics,38921.73,2289,17695.04,False,1,1,1,2022
2022-01-05,Electronics,36257.55,2132,16483.82,True,2,1,1,2022
2022-01-06,Electronics,36388.22,2140,16543.22,True,3,1,1,2022
2022-01-07,Electronics,39474.57,2321,17946.38,False,4,1,1,2022
2022-01-08,Electronics,45788.17,2692,20816.74,True,5,1,1,2022
2022-01-09,Electronics,37688.83,2216,17134.52,False,6,1,1,2022
2022-01-10,Electronics,36232.91,2130,16472.62,False,0,1,1,2022
2022-01-11,Electronics,32847.54,1931,14933.52,False,1,1,1,2022
2022-01-12,Electronics,32978.29,1939,14992.96,False,2,1,1,2022
2022-01-13,Electronics,35597.33,2093,16183.66,False,3,1,1,2022
2022-01-14,Electronics,28199.35,1658,12820.31,False,4,1,1,2022
2022-01-15,Electronics,34263.88,2015,15577.43,False,5,1,1,2022
2022-01-16,Electronics,38507.65,2264,17506.78,False,6,1,1,2022
2022-01-17,Electronics,31806.28,1870,14460.13,False,0,1,1,2022
2022-01-18,Electronics,36609.17,2153,16643.67,False,1,1,1,2022
2022-01-19,Electronics,32492.44,1911,14772.08,False,2,1,1,2022
2022-01-20,Electronics,30891.77,1816,14044.37,False,3,1,1,2022
2022-01-21,Electronics,44732.19,2630,20336.65,True,4,1,1,2022
2022-01-22,Electronics,40808.25,2399,18552.71,False,5,1,1,2022
2022-01-23,Electronics,42034.19,2472,19110.06,False,6,1,1,2022
2022-01-24,Electronics,31535.66,1854,14337.1,False,0,1,1,2022
2022-01-25,Electronics,34796.19,2046,15819.44,False,1,1,1,2022
2022-01-26,Electronics,37271.9,2192,16944.97,False,2,1,1,2022
2022-01-27,Electronics,33040.17,1943,15021.1,False,3,1,1,2022
2022-01-28,Electronics,38571.39,2268,17535.76,False,4,1,1,2022
2022-01-29,Electronics,40961.84,2409,18622.53,False,5,1,1,2022
2022-01-30,Electronics,42265.45,2485,19215.2,False,6,1,1,2022
2022-01-31,Electronics,35730.36,2101,16244.14,False,0,1,1,2022
2022-02-01,Electronics,44517.97,2618,20239.26,False,1,2,1,2022
2022-02-02,Electronics,38189.03,2245,17361.93,False,2,2,1,2022
2022-02-03,Electronics,34738.13,2043,15793.04,False,3,2,1,2022
2022-02-04,Electronics,41525.41,2442,18878.75,False,4,2,1,2022
2022-02-05,Electronics,40410.72,2376,18371.98,False,5,2,1,2022
2022-02-06,Electronics,45657.7,2685,20757.42,False,6,2,1,2022
2022-02-07,Electronics,32421.54,1906,14739.85,False,0,2,1,2022
2022-02-08,Electronics,34847.79,2049,15842.9,False,1,2,1,2022
2022-02-09,Electronics,40403.83,2376,18368.85,False,2,2,1,2022
2022-02-10,Electronics,42520.07,2500,19330.95,False,3,2,1,2022
2022-02-11,Electronics,40758.07,2397,18529.89,False,4,2,1,2022
2022-02-12,Electronics,46036.0,2707,20929.41,False,5,2,1,2022
2022-02-13,Electronics,45648.09,2684,20753.05,False,6,2,1,2022
2022-02-14,Electronics,39748.71,2337,18071.01,True,0,2,1,2022
2022-02-15,Electronics,38551.32,2267,17526.64,False,1,2,1,2022
2022-02-16,Electronics,43822.1,2577,19922.9,True,2,2,1,2022
2022-02-17,Electronics,45238.94,2660,20567.04,False,3,2,1,2022
2022-02-18,Electronics,42978.61,2527,19539.42,False,4,2,1,2022
2022-02-19,Electronics,42146.26,2478,19161.01,False,5,2,1,2022
2022-02-20,Electronics,49727.77,2924,22607.8,False,6,2,1,2022
2022-02-21,Electronics,41149.61,2420,18707.9,False,0,2,1,2022
2022-02-22,Electronics,40372.02,2374,18354.38,False,1,2,1,2022
2022-02-23,Electronics,45127.56,2653,20516.4,False,2,2,1,2022
2022-02-24,Electronics,46842.18,2754,21295.92,False,3,2,1,2022
2022-02-25,Electronics,46741.62,2748,21250.2,False,4,2,1,2022
2022-02-26,Electronics,47354.58,2784,21528.87,False,5,2,1,2022
2022-02-27,Electronics,49498.56,2910,22503.59,False,6,2,1,2022
2022-02-28,Electronics,45395.31,2669,20638.13,False,0,2,1,2022
2022-03-01,Electronics,47904.13,2817,21778.72,False,1,3,1,2022
2022-03-02,Electronics,43067.65,2532,19579.9,False,2,3,1,2022
2022-03-03,Electronics,44351.14,2608,20163.42,False,3,3,1,2022
2022-03-04,Electronics,41386.04,2433,18815.39,False,4,3,1,2022
2022-03-05,Electronics,48157.25,2832,21893.79,False,5,3,1,2022
2022-03-06,Electronics,55485.96,3263,25225.65,False,6,3,1,2022
2022-03-07,Electronics,50782.77,2986,23087.44,False,0,3,1,2022
2022-03-08,Electronics,46044.91,2707,20933.46,False,1,3,1,2022
2022-03-09,Electronics,50071.11,2944,22763.89,False,2,3,1,2022
2022-03-10,Electronics,48087.01,2827,21861.86,False,3,3,1,2022
2022-03-11,Electronics,44826.56,2636,20379.56,False,4,3,1,2022
2022-03-12,Electronics,55715.42,3276,25329.97,False,5,3,1,2022
2022-03-13,Electronics,60137.68,3536,27340.47,False,6,3,1,2022
2022-03-14,Electronics,47752.11,2808,21709.6,False,0,3,1,2022
2022-03-15,Electronics,53619.03,3153,24376.89,False,1,3,1,2022
2022-03-16,Electronics,39239.31,2307,17839.42,False,2,3,1,2022
2022-03-17,Electronics,51551.03,3031,23436.71,False,3,3,1,2022
2022-03-18,Electronics,49245.23,2896,22388.42,False,4,3,1,2022
