Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,No,Travel_Rarely,900,Research & Development,8,5,Medical,1,1,2,Male,84,4,3,Manufacturing Director,2,Married,8464,4989,1,Y,No,14,3,3,80,0,31,4,3,21,17,9,3
48,Yes,Travel_Rarely,232,Human Resources,12,4,Life Sciences,1,2,2,Male,64,3,1,Manager,2,Divorced,11569,5189,3,Y,Yes,12,3,3,80,1,21,3,2,5,5,1,3
58,No,Travel_Rarely,779,Research & Development,10,3,Life Sciences,1,3,4,Female,90,3,1,Manufacturing Director,3,Married,7719,20084,5,Y,No,14,3,3,80,0,17,1,3,8,3,3,8
28,No,Non-Travel,1050,Research & Development,23,3,Medical,1,4,2,Female,55,2,1,Manufacturing Director,3,Single,1009,4541,5,Y,No,18,3,4,80,1,40,4,3,30,8,0,0
21,Yes,Travel_Rarely,253,Sales,4,4,Life Sciences,1,5,1,Male,60,3,1,Sales Representative,2,Single,5829,8590,0,Y,No,12,4,4,80,0,3,5,3,2,0,0,0
51,Yes,Travel_Rarely,1023,Sales,16,2,Human Resources,1,6,2,Female,86,3,3,Sales Representative,2,Married,19999,3418,7,Y,No,11,3,1,80,0,11,0,3,6,3,3,6
55,No,Non-Travel,1230,Sales,20,3,Technical Degree,1,7,3,Male,41,3,2,Sales Executive,3,Divorced,18199,12343,1,Y,No,21,3,3,80,0,15,2,3,11,4,3,8
21,No,Travel_Rarely,1492,Research & Development,6,3,Marketing,1,8,4,Male,34,3,3,Laboratory Technician,3,Divorced,19999,22380,4,Y,No,24,3,4,80,2,20,6,4,17,14,5,10
55,No,Travel_Rarely,1217,Research & Development,9,3,Life Sciences,1,9,3,Male,36,3,3,Laboratory Technician,2,Divorced,11786,25688,3,Y,Yes,25,3,2,80,0,28,3,3,27,18,15,5
36,No,Travel_Rarely,814,Research & Development,23,3,Marketing,1,10,2,Female,45,3,2,Healthcare Representative,2,Single,18628,21600,4,Y,Yes,25,3,3,80,1,39,3,3,28,1,0,17
23,No,Travel_Frequently,906,Sales,5,3,Marketing,1,11,2,Female,81,2,3,Sales Representative,4,Married,19999,23344,4,Y,No,13,3,4,80,3,20,1,3,18,13,1,16
51,Yes,Travel_Rarely,533,Human Resources,21,3,Marketing,1,12,2,Female,50,3,1,Manager,4,Married,1991,20207,9,Y,No,20,3,3,80,0,7,3,4,2,2,1,2
35,Yes,Travel_Rarely,1430,Research & Development,24,4,Life Sciences,1,13,1,Male,56,4,2,Healthcare Representative,2,Single,11308,7448,7,Y,Yes,17,3,1,80,3,13,2,4,0,0,0,0
