date,product_id,product_name,category,units_demanded,units_sold,lost_sales,inventory_level,unit_price,revenue,holding_cost,reorder_placed,stockout_flag,reorder_point,lead_time_days
2022-01-01,P1001,Electronics Product 1,Electronics,3,3,0,375,1412,4236,158.85,False,0,53,10
2022-01-02,P1001,Electronics Product 1,Electronics,3,3,0,372,1412,4236,157.58,False,0,53,10
2022-01-03,P1001,Electronics Product 1,Electronics,3,3,0,369,1412,4236,156.31,False,0,53,10
2022-01-04,P1001,Electronics Product 1,Electronics,3,3,0,366,1412,4236,155.04,False,0,53,10
2022-01-05,P1001,Electronics Product 1,Electronics,2,2,0,364,1412,2824,154.19,False,0,53,10
2022-01-06,P1001,Electronics Product 1,Electronics,2,2,0,362,1412,2824,153.34,False,0,53,10
2022-01-07,P1001,Electronics Product 1,Electronics,3,3,0,359,1412,4236,152.07,False,0,53,10
2022-01-08,P1001,Electronics Product 1,Electronics,3,3,0,356,1412,4236,150.8,False,0,53,10
2022-01-09,P1001,Electronics Product 1,Electronics,3,3,0,353,1412,4236,149.53,False,0,53,10
2022-01-10,P1001,Electronics Product 1,Electronics,3,3,0,350,1412,4236,148.26,False,0,53,10
2022-01-11,P1001,Electronics Product 1,Electronics,2,2,0,348,1412,2824,147.41,False,0,53,10
2022-01-12,P1001,Electronics Product 1,Electronics,2,2,0,346,1412,2824,146.57,False,0,53,10
2022-01-13,P1001,Electronics Product 1,Electronics,2,2,0,344,1412,2824,145.72,False,0,53,10
2022-01-14,P1001,Electronics Product 1,Electronics,2,2,0,342,1412,2824,144.87,False,0,53,10
2022-01-15,P1001,Electronics Product 1,Electronics,2,2,0,340,1412,2824,144.02,False,0,53,10
2022-01-16,P1001,Electronics Product 1,Electronics,3,3,0,337,1412,4236,142.75,False,0,53,10
2022-01-17,P1001,Electronics Product 1,Electronics,2,2,0,335,1412,2824,141.91,False,0,53,10
2022-01-18,P1001,Electronics Product 1,Electronics,2,2,0,333,1412,2824,141.06,False,0,53,10
2022-01-19,P1001,Electronics Product 1,Electronics,2,2,0,331,1412,2824,140.21,False,0,53,10
2022-01-20,P1001,Electronics Product 1,Electronics,2,2,0,329,1412,2824,139.36,False,0,53,10
2022-01-21,P1001,Electronics Product 1,Electronics,3,3,0,326,1412,4236,138.09,False,0,53,10
2022-01-22,P1001,Electronics Product 1,Electronics,3,3,0,323,1412,4236,136.82,False,0,53,10
2022-01-23,P1001,Electronics Product 1,Electronics,3,3,0,320,1412,4236,135.55,False,0,53,10
2022-01-24,P1001,Electronics Product 1,Electronics,2,2,0,318,1412,2824,134.7,False,0,53,10
2022-01-25,P1001,Electronics Product 1,Electronics,2,2,0,316,1412,2824,133.86,False,0,53,10
2022-01-26,P1001,Electronics Product 1,Electronics,2,2,0,314,1412,2824,133.01,False,0,53,10
2022-01-27,P1001,Electronics Product 1,Electronics,2,2,0,312,1412,2824,132.16,False,0,53,10
2022-01-28,P1001,Electronics Product 1,Electronics,3,3,0,309,1412,4236,130.89,False,0,53,10
2022-01-29,P1001,Electronics Product 1,Electronics,3,3,0,306,1412,4236,129.62,False,0,53,10
2022-01-30,P1001,Electronics Product 1,Electronics,3,3,0,303,1412,4236,128.35,False,0,53,10
2022-01-31,P1001,Electronics Product 1,Electronics,2,2,0,301,1412,2824,127.5,False,0,53,10
