loan_id,origination_date,sector,credit_grade,credit_score,loan_amount,annual_income,debt_to_income,interest_rate,collateral_value,ltv_ratio,employment_years,num_defaults_history,monthly_return,volatility_30d,sharpe_ratio,portfolio_weight,risk_score_raw,risk_label
LN000001,2025-02-03,Consumer,BB,637,211513.89,61165.19,0.702,0.1117,369937.12,0.5718,1.0,0,-0.084712,0.092838,-3.1609,2.5e-05,1.1239,Medium
LN000002,2020-12-19,Energy,A,734,333172.74,31949.85,1.5,0.0722,547890.81,0.6081,2.6,1,-0.012937,0.064583,-0.6939,7.7e-05,3.3796,High
LN000003,2023-08-26,Energy,BB,596,254633.41,37908.66,1.3646,0.1105,520773.77,0.489,2.7,1,0.063479,0.09793,2.2455,0.000348,4.5276,High
LN000004,2022-06-24,Industrial,AA,810,130150.7,40747.41,0.5586,0.0637,190433.85,0.6834,8.4,0,-0.02886,0.06429,-1.5551,2e-05,-0.4669,Low
LN000005,2023-07-13,Healthcare,CCC,469,76540.02,48017.15,0.2626,0.1434,125121.61,0.6117,0.8,0,0.068097,0.111894,2.1082,0.000154,2.2954,Medium
LN000006,2023-06-27,Real Estate,BBB,672,52362.11,72231.77,0.1501,0.0935,75235.22,0.696,12.4,0,-0.116309,0.095,-4.2411,1.1e-05,-1.0655,Low
LN000007,2022-07-27,Industrial,A,725,497891.85,98777.2,0.9237,0.0784,884836.75,0.5627,10.0,0,-0.024188,0.066567,-1.2587,0.000196,1.505,Medium
LN000008,2024-09-27,Finance,AA,809,45732.08,57769.54,0.1999,0.0687,32848.57,1.3922,1.4,2,-0.015419,0.057119,-0.9351,0.001229,2.1117,Medium
LN000009,2020-03-06,Utilities,A,690,31546.8,60553.79,0.1478,0.0817,29786.03,1.0591,8.9,0,0.060478,0.057937,3.616,0.000539,-0.4191,Low
LN000010,2023-08-16,Utilities,BBB,648,205233.95,66191.97,0.6365,0.0966,522649.16,0.3927,7.7,0,0.001071,0.075532,0.0491,0.000333,0.9979,Medium
LN000011,2020-02-26,Real Estate,BBB,629,41119.98,41725.44,0.141,0.0973,20745.3,1.9821,9.7,1,0.10971,0.070258,5.4093,7.4e-05,3.8525,High
LN000012,2023-07-16,Technology,B,543,34715.1,31326.68,0.2906,0.1173,44305.27,0.7835,1.5,0,-0.274535,0.172552,-5.5115,0.000542,1.6451,Medium
LN000013,2023-01-23,Consumer,BBB,700,20171.69,20000.0,0.3036,0.0988,43518.67,0.4635,1.2,0,-0.005161,0.078743,-0.227,0.000186,-0.9384,Low
LN000014,2021-08-07,Healthcare,A,717,58034.86,36805.24,0.3227,0.0831,75470.33,0.769,1.9,1,-0.012473,0.160818,-0.2687,0.000622,0.8243,Low
LN000015,2021-01-09,Technology,BB,597,90130.46,83383.17,0.2417,0.1049,103467.11,0.8711,3.2,0,0.038658,0.093458,1.4329,0.000383,0.7699,Low
LN000016,2020-10-02,Technology,BB,631,128978.49,36605.8,0.7148,0.1088,183353.19,0.7034,11.0,0,-0.085529,0.084963,-3.4872,0.0,1.5725,Medium
LN000017,2022-01-16,Real Estate,A,756,281091.88,50692.59,1.1355,0.0798,329452.94,0.8532,9.4,0,0.095481,0.064163,5.1549,1.5e-05,1.5003,Medium
LN000018,2020-05-08,Healthcare,A,727,176237.49,82992.2,0.4187,0.0793,240849.49,0.7317,18.2,0,-0.007973,0.050808,-0.5436,0.000116,-0.6553,Low
LN000019,2024-07-04,Consumer,AAA,850,80020.69,86204.93,0.1839,0.0517,82181.72,0.9737,0.4,0,-0.088668,0.067029,-4.5824,0.000234,-1.8138,Low
LN000020,2025-01-26,Finance,BB,583,79378.65,28122.55,0.6098,0.1172,166950.81,0.4755,0.1,0,-0.026307,0.114136,-0.7984,0.000171,1.0998,Medium
LN000021,2021-11-05,Healthcare,BB,644,173021.86,120323.78,0.4049,0.1154,412701.23,0.4192,8.4,3,-0.055304,0.105879,-1.8094,0.000406,4.8721,High
